What is your age?,What is your gender?,What is your highest level of education?,What was your field of study?,How many years have passed since your graduation?,Are you currently employed?,What is your current employment status?,How long did it take to find a job after graduation?,Is your current job related to your field of study?,What was the main reason for working in a job unrelated to your degree? (If applicable),Have you experienced any periods of unemployment since graduation?,How satisfied are you with your current job?,Do you see clear career growth opportunities in your current job?,Have you had to change jobs to find better employment opportunities?,How often have you considered further education or training to improve your job prospects?,Do you feel your degree adequately prepared you for the job market?,What skills do you think were missing from your university education that employers demand? (Check all that apply),Have you had to pursue additional training or certifications to improve employability?,Were there any gaps in your education that you believe should have been addressed?,"On a scale of 1-10, How well did your degree prepare you for the job market?",Have you taken out student loans to finance your education?,"On a scale of 1-10, how would you rate the financial burden of your education?",Do you believe your education offers a good return on investment?,Have you ever faced difficulties in finding a job due to a lack of experience?,What do you think should be improved in Sri Lanka’s higher education system to enhance graduate employability? (Check all that apply),Would you consider leaving Sri Lanka for better job opportunities?,"Overall, how satisfied are you with the quality of education you received?",What improvements would you suggest for the curriculum to better prepare students for the job market?,"If you are unemployed, how long have you been seeking employment?",What do you think is the primary reason for your current unemployment?,Have you applied for jobs related to your field of study while unemployed?,"If yes, what has been the main reason for not securing a job related to your degree?",How often do you face rejections from employers when applying for jobs?,Do you feel that having a bachelor’s degree has made it more difficult to find a job?,What do you think would improve your chances of finding employment? (Check all that apply),Have you taken any steps to improve your employability while unemployed?,How do you feel about your prospects of securing a job in the near future?,What do you think needs to change in the education system or job market to reduce unemployment among bachelor’s degree holders? (Open-ended)
31–35,Female,Bachelor’s Degree,Social Sciences,5,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Insufficient skills or qualifications,No,Skills mismatch,4,Not sure,"Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Relocating to a different city or country, Better access to career guidance and resources, Improving job search strategies, Other (Please specify)","No, I have not taken any steps",5,Improve required skills
25–30,Female,Bachelor’s Degree,Science & Technology,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,2,Yes,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,Yes,7,Yes,6,Yes,Yes,More practical training & internships,Yes,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Arts & Humanities,3,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,3,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, Relocating to a different city or country, Better access to career guidance and resources, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",3,Have more opportunities 
31–35,Male,Postgraduate Degree,Business & Management,8,Yes,Employed (Full-time),3–6 months,Somewhat related,Better salary in another sector,,3,Yes,No,Occasionally,Yes,"Communication & Soft Skills, Digital Literacy",No,No,4,No,4,Yes,Yes,Career guidance & counseling,Maybe,3,,,,,,,,,,,
25–30,Female,Diploma/Certificate,Science & Technology,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of experience,Yes,Employers seeking more experience,3,"No, having a degree has helped in securing interviews",Networking or connections within the industry,"Yes, I have gained work experience through internships or volunteer work",3,
36+,Female,Postgraduate Degree,Business & Management,11,Yes,Self-employed,6 months – 1 year,"Yes, highly related",,,1,Yes,Yes,Rarely,Yes,Practical/Technical Skills,Yes,Yes,6,Yes,7,Maybe,Yes,Stronger university-industry collaboration,Yes,4,,,,,,,,,,,
25–30,Male,Diploma/Certificate,Engineering,4,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",,,4,Yes,Yes,Rarely,Somewhat,"Communication & Soft Skills, Digital Literacy",Yes,Yes,3,Yes,4,No,Yes,Stronger university-industry collaboration,Yes,2,,,,,,,,,,,
31–35,Female,Diploma/Certificate,Science & Technology,2,Yes,Employed (Full-time),More than 1 year,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,No,Occasionally,Somewhat,"Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,8,Yes,5,Maybe,Yes,More practical training & internships,Maybe,2,,,,,,,,,,,
31–35,Male,Postgraduate Degree,Business & Management,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,8,No,7,Yes,Yes,Updated curriculum aligned with industry needs,Yes,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,1,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of job opportunities in my field,Yes,High competition for available roles,3,"No, having a degree has helped in securing interviews","Relocating to a different city or country, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",4,
31–35,Male,Diploma/Certificate,Social Sciences,8,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of job opportunities in my field,Yes,Employers seeking more experience,1,"Yes, because the degree creates a mismatch with job market expectations","Better access to career guidance and resources, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",3,Need to increase the experiences and internships for students
36+,Male,Postgraduate Degree,Business & Management,12,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Very often,Yes,"Practical/Technical Skills, Leadership & Management Skills",No,No,9,No,8,Yes,No,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,2,It should be updated with new technologies.,,,,,,,,,,
25–30,Female,Postgraduate Degree,Arts & Humanities,4,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,,,2,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,No,4,No,5,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Male,Diploma/Certificate,Engineering,3years,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,No,No,8,No,6,Yes,No,"More practical training & internships, Career guidance & counseling",Yes,4,,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Business & Management,5 years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,2,No,Yes,Occasionally,Yes,Digital Literacy,Yes,Yes,7,No,9,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,.,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,2,Somewhat,No,Very often,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7,No,3,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,3,The things we learned in university should be align with job market,,,,,,,,,,
31–35,Male,Postgraduate Degree,Science & Technology,10,Yes,Employed (Full-time),3–6 months,Somewhat related,,,4,Somewhat,Yes,Rarely,Somewhat,"Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",No,Yes,5,No,8,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,5,Yes,Employed (Full-time),3–6 months,Somewhat related,Lack of required skills/experience,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,6,No,9,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,Be align with the job market requirement and updated,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,1,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Personal preference,,2,Somewhat,Yes,Occasionally,Yes,"Communication & Soft Skills, Leadership & Management Skills, Digital Literacy",Yes,Yes,8,No,5,Yes,Yes,More practical training & internships,Yes,2,,,,,,,,,,,
31–35,Female,Postgraduate Degree,Engineering,5,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,No,Occasionally,Yes,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Digital Literacy",Yes,Yes,6,Yes,6,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs",Maybe,3,"Recruit and invest in fresh graduates by providing comprehensive training and professional development. Retain top talent by offering competitive salaries and a supportive work environment that fosters long-term commitment and growth.
",,,,,,,,,,
25–30,Male,Postgraduate Degree,Social Sciences,4,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",Lack of required skills/experience,,3,Yes,No,Very often,Somewhat,"Communication & Soft Skills, Leadership & Management Skills, Digital Literacy",Yes,Yes,7,Yes,4,Maybe,Yes,"Stronger university-industry collaboration, Career guidance & counseling",Yes,3,"Sri Lanka needs updated curriculum 
",,,,,,,,,,
31–35,Female,Bachelor’s Degree,Science & Technology,6,Yes,Employed (Full-time),3–6 months,Not related,Better salary in another sector,,3,Yes,Yes,Occasionally,Somewhat,"Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy",Yes,Yes,5,Yes,7,Maybe,Yes,Updated curriculum aligned with industry needs,Maybe,3,,,,,,,,,,,
18–24,Female,Bachelor’s Degree,Science & Technology,1,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Lack of experience,Yes,Lack of job openings in my field,4,"No, having a degree has helped in securing interviews","Additional skills or certifications, Relocating to a different city or country, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",4,"The education system should align curricula with industry demands through practical training, internships, and skill-based learning, while the job market should expand entry-level opportunities and encourage entrepreneurship to reduce unemployment among bachelorâ€™s degree holders.
"
36+,Female,Postgraduate Degree,Business & Management,11,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,3,Somewhat,Yes,Never,Yes,"Practical/Technical Skills, Communication & Soft Skills, Digital Literacy",No,Yes,5,No,6,Yes,No,Updated curriculum aligned with industry needs,Maybe,3,,,,,,,,,,,
18–24,Male,Diploma/Certificate,Medicine/Health Sciences,0.5,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, Better access to career guidance and resources","Yes, I have gained work experience through internships or volunteer work",3,
31–35,Female,Bachelor’s Degree,Arts & Humanities,2,Yes,Employed (Part-time),6 months – 1 year,"Yes, highly related",Lack of job opportunities in my field,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Digital Literacy",Yes,No,7,Yes,5,Maybe,Yes,Updated curriculum aligned with industry needs,Maybe,4,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),More than 1 year,Not related,Lack of job opportunities in my field,,4,No,No,Very often,Somewhat,"Practical/Technical Skills, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,5,Yes,7,Maybe,Yes,"Stronger university-industry collaboration, Career guidance & counseling",Yes,2,,,,,,,,,,,
18–24,Male,Bachelor’s Degree,Engineering,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Prefer to focus on personal projects or further studies,Yes,High competition for available roles,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, Better access to career guidance and resources","Yes, I have enrolled in additional courses or certifications",1,Only having acedemic qualifications is not good. Education system aligns with the current job market
36+,Female,Bachelor’s Degree,Medicine/Health Sciences,15,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Better salary in another sector,,2,Yes,Yes,Occasionally,Yes,"Leadership & Management Skills, Digital Literacy",Yes,Yes,9,Yes,8,Yes,Yes,Career guidance & counseling,Maybe,2,I am happy what i learned but it is good to improve that with the new opportunities ,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Arts & Humanities,3,Yes,Employed (Full-time),3–6 months,Somewhat related,Better salary in another sector,,4,Yes,Yes,Rarely,No,Leadership & Management Skills,Yes,No,6,Yes,4,Yes,No,More practical training & internships,Maybe,4,,,,,,,,,,,
31–35,Male,Diploma/Certificate,Medicine/Health Sciences,6,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,3,Somewhat,No,Never,Somewhat,Digital Literacy,Yes,Yes,7,No,4,Yes,No,"More practical training & internships, Updated curriculum aligned with industry needs",Maybe,2,,,,,,,,,,,
25–30,Female,Other (Please specify),Other (Please specify),4,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Other (Please specify),No,Other (Please specify),4,"No, having a degree has helped in securing interviews",Other (Please specify),"No, I have not taken any steps",3,
18–24,Female,Diploma/Certificate,Science & Technology,1,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",,,3,Yes,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,4,No,8,Yes,Yes,Stronger university-industry collaboration,Maybe,3,,,,,,,,,,,
31–35,Female,Bachelor’s Degree,Science & Technology,6,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,2,Somewhat,Yes,Occasionally,No,"Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy",Yes,Yes,3,No,7,Yes,No,Stronger university-industry collaboration,Yes,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,3,Yes,Employed (Full-time),6 months – 1 year,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,Yes,Never,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving",Yes,Yes,6,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,4,Should give skills and practical learning,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Social Sciences,3,Yes,Employed (Full-time),6 months – 1 year,Not related,Lack of job opportunities in my field,,2,Somewhat,Yes,Rarely,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Digital Literacy",Yes,Yes,7,No,3,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,3,"The curriculum should incorporate more practical skills, industry-specific training, internships, and soft skills development to better align with job market demands.
",,,,,,,,,,
18–24,Male,Diploma/Certificate,Arts & Humanities,1,Yes,Employed (Full-time),6 months – 1 year,Not related,Lack of job opportunities in my field,,2,No,Yes,Rarely,Somewhat,Practical/Technical Skills,Yes,No,6,No,7,Maybe,Yes,More practical training & internships,Maybe,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3,Yes,Self-employed,Less than 3 months,Not related,Personal preference,,1,Yes,No,Never,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",No,Yes,4,No,5,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,2,,,,,,,,,,,
25–30,Female,Diploma/Certificate,Arts & Humanities,1,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Insufficient skills or qualifications,Yes,Skills mismatch,2,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, Better access to career guidance and resources, Improving job search strategies","Yes, I have expanded my professional network",2,Job market hope high qualifications.it is not good 
31–35,Male,Postgraduate Degree,Business & Management,7,Yes,Self-employed,More than 1 year,Somewhat related,,,1,Yes,Yes,Very often,No,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",Yes,Yes,6,Yes,8,Yes,Yes,"Stronger university-industry collaboration, Career guidance & counseling",Maybe,2,"after following the foriegn countries' university process, we can change our patterens i think.",,,,,,,,,,
25–30,Male,Bachelor’s Degree,Other (Please specify),2,Yes,Employed (Full-time),3–6 months,Somewhat related,Personal preference,,2,Yes,Yes,Occasionally,Yes,"Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",Yes,Yes,3,No,4,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
31–35,Male,Postgraduate Degree,Business & Management,4,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Better salary in another sector,,1,Somewhat,Yes,Rarely,Somewhat,Digital Literacy,Yes,Yes,4,No,4,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Arts & Humanities,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,1,"Yes, because the degree creates a mismatch with job market expectations",Other (Please specify),"Yes, I have enrolled in additional courses or certifications",4,"More internships, apprenticeships, and hands-on training should be integrated into degree programs.

"
18–24,Female,Diploma/Certificate,Business & Management,0.5,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Prefer to focus on personal projects or further studies,No,,5,Not sure,"Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Improving job search strategies, Other (Please specify)","Yes, I have enrolled in additional courses or certifications",3,"Universities should collaborate with industries to ensure that degree programs equip students with relevant skills.

"
31–35,Male,Postgraduate Degree,Medicine/Health Sciences,8,Yes,Employed (Full-time),3–6 months,"Yes, highly related",,,1,Yes,No,Occasionally,Yes,"Communication & Soft Skills, Leadership & Management Skills, Digital Literacy",Yes,No,8,Yes,8,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,"Integrate practical skills like coding, digital literacy, data analysis, and project management to match modern workforce demands.",,,,,,,,,,
25–30,Female,Other (Please specify),Arts & Humanities,6,Yes,Self-employed,More than 1 year,Not related,Lack of job opportunities in my field,,1,No,No,Never,No,Digital Literacy,No,No,3,Yes,4,Maybe,No,More practical training & internships,No,4,"Increase internship opportunities, apprenticeships, and industry partnerships to give students hands-on experience.",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Arts & Humanities,3,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",,,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,7,No,3,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,2,"Emphasize communication, critical thinking, teamwork, and adaptability—essential in any professional setting",,,,,,,,,,
31–35,Male,Postgraduate Degree,Business & Management,2,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Better salary in another sector,,2,Somewhat,No,Occasionally,Somewhat,"Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy",No,Yes,6,No,5,Maybe,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,"Encourage innovation and business acumen through startup incubators, business courses, and mentorship programs",,,,,,,,,,
18–24,Male,Bachelor’s Degree,Engineering,0,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Insufficient skills or qualifications,Yes,High competition for available roles,2,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Relocating to a different city or country, Other (Please specify)","Yes, I have gained work experience through internships or volunteer work",4,Curriculum Alignment
18–24,Female,Bachelor’s Degree,Social Sciences,0,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Skills mismatch,1,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",3,Skill Development
18–24,Female,Bachelor’s Degree,Social Sciences,0,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Lack of experience,Yes,Lack of job openings in my field,2,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Relocating to a different city or country, Better access to career guidance and resources, Improving job search strategies, Other (Please specify)","Yes, I have enrolled in additional courses or certifications",2,Career Guidance
36+,Male,Postgraduate Degree,Science & Technology,12,Yes,Employed (Full-time),Less than 3 months,Somewhat related,,,1,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Industry-Specific Knowledge",Yes,Yes,7,Yes,8,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,"Blend subjects to foster holistic problem-solving. For instance, combining engineering with environmental science or business with psychology",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Engineering,1,Yes,Employed (Full-time),3–6 months,Somewhat related,Personal preference,,3,Somewhat,No,Rarely,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,4,Yes,8,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,4,Teach students how to upskill independently by incorporating self-learning strategies and AI-assisted research,,,,,,,,,,
18–24,Male,Diploma/Certificate,Medicine/Health Sciences,0,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Insufficient skills or qualifications,No,Other (Please specify),5,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Relocating to a different city or country, Better access to career guidance and resources, Improving job search strategies","No, I have not taken any steps",5,Soft Skills Training
25–30,Male,Bachelor’s Degree,Arts & Humanities,2,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,1,"Yes, because the degree creates a mismatch with job market expectations","More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources","Yes, I have gained work experience through internships or volunteer work",4,The degrees should be resigned according to the job market 
